,TwonHalfDecade,constituentid_x,counts
1411,1775,1305,37
2209,1875,614,37
3178,1925,38216,37
2260,1875,4475,37
3308,1950,483,37
1813,1825,10026,37
834,1650,18165,37
2195,1875,508,37
3896,1975,1186,37
2637,1900,14020,37
1404,1775,1189,37
1354,1775,426,37
4486,2000,9752,37
4157,1975,25202,37
3117,1925,29608,37
3517,1950,16884,37
4030,1975,9672,37
1567,1800,454,37
4084,1975,15257,36
910,1675,1005,36
2429,1900,105,36
3964,1975,1996,36
4276,1975,37625,36
4488,2000,10026,36
1312,1775,35,36
1929,1850,426,36
3645,1950,35183,35
760,1650,383,35
780,1650,631,35
1711,1825,142,35
1996,1850,7174,35
4338,1975,48465,34
1966,1850,1011,34
3454,1950,4711,34
4145,1975,23952,34
2048,1850,26158,34
4597,2000,26709,34
632,1625,426,34
2021,1850,18165,34
2043,1850,23895,34
4600,2000,27063,33
4409,2000,810,33
2538,1900,631,33
2590,1900,1570,33
113,1475,193,33
3507,1950,15256,33
3806,1975,425,33
1827,1825,18165,33
465,1575,18314,33
543,1600,1552,33
4278,1975,37702,33
2063,1850,30149,32
1221,1750,609,32
3877,1975,1003,32
3162,1925,35953,32
3558,1950,23126,32
1212,1750,501,32
4634,2000,31370,32
3288,1950,389,32
3445,1950,3097,32
2407,1900,35,31
4342,1975,48903,31
2409,1900,38,31
1257,1750,13179,31
2011,1850,14034,31
2013,1850,14825,31
4363,1975,51462,31
3004,1925,9720,31
1355,1775,427,31
4086,1975,16051,31
1198,1750,403,31
4802,2025,23160,31
3660,1950,36259,31
4819,2025,35269,31
1713,1825,153,31
3229,1950,76,31
3679,1950,41392,31
3458,1950,6715,31
3835,1975,532,31
4681,2000,37005,31
4135,1975,23184,30
286,1525,9926,30
1170,1750,35,30
2891,1925,588,30
3170,1925,37506,30
3928,1975,1551,30
1200,1750,422,30
1094,1725,508,30
1641,1800,14034,30
377,1550,14440,30
3672,1950,38216,30
3067,1925,21728,30
2399,1900,9,30
2612,1900,4475,30
1283,1750,26672,30
2375,1875,38134,30
4173,1975,27732,30
1507,1800,9,29
1207,1750,454,29
3861,1975,912,29
4695,2000,38222,29
865,1650,48870,29
770,1650,465,29
1148,1725,24254,29
1431,1775,9926,29
2123,1875,105,29
1141,1725,18165,29
634,1625,441,29
3530,1950,18911,29
1259,1750,14440,28
2237,1875,1303,28
433,1575,1005,28
794,1650,1005,28
4303,1975,43872,28
3260,1950,218,28
4714,2000,44949,28
1281,1750,26158,27
3169,1925,37190,27
4331,1975,47445,27
1658,1800,21517,27
4798,2025,19598,27
4628,2000,31177,27
2215,1875,668,27
2361,1875,35183,27
726,1650,9,27
1930,1850,427,27
635,1625,454,27
3837,1975,544,27
2055,1850,27795,27
1818,1825,14034,26
2582,1900,1521,26
127,1475,631,26
4105,1975,18314,26
3582,1950,27063,26
839,1650,21517,26
3211,1925,51879,26
2931,1925,1086,26
2792,1925,105,26
727,1650,35,26
4527,2000,16051,26
4492,2000,10163,26
959,1675,31518,26
3084,1925,23698,26
2638,1900,14034,26
581,1600,35270,25
4324,1975,47223,25
2894,1925,604,25
2804,1925,159,25
846,1650,24254,25
4642,2000,31636,25
555,1600,14440,25
1011,1700,1005,25
3251,1950,159,25
4549,2000,20532,25
3096,1925,25202,25
2607,1900,1838,25
528,1600,639,25
637,1625,465,25
2912,1925,946,25
1819,1825,14440,24
4261,1975,35953,24
2435,1900,135,24
3514,1950,16644,24
4619,2000,30424,24
4454,2000,4711,24
1254,1750,10026,24
3516,1950,16819,24
381,1550,18314,24
3510,1950,16158,24
2954,1925,1469,24
2473,1900,292,24
3139,1925,31613,24
3484,1950,12004,24
3238,1950,101,24
3954,1975,1683,24
676,1625,10026,24
1135,1725,14440,24
3545,1950,21753,24
2441,1900,159,24
4004,1975,6149,24
3505,1950,15056,24
4002,1975,6024,24
3411,1950,1620,23
607,1625,142,23
1755,1825,455,23
3177,1925,38134,23
4717,2000,46023,23
3339,1950,720,23
4503,2000,11671,23
4529,2000,16706,23
197,1500,9926,23
768,1650,454,23
2858,1925,426,23
682,1625,14440,23
4065,1975,12564,23
4483,2000,9720,23
4520,2000,14034,23
3376,1950,1178,23
3746,1975,82,23
4139,1975,23695,23
4069,1975,12883,23
3683,1950,44949,22
4610,2000,29608,22
2874,1925,508,22
117,1475,427,22
1213,1750,508,22
1965,1850,1005,22
1304,1750,47746,22
3824,1975,485,22
3185,1925,44949,22
4027,1975,7177,22
2737,1900,38134,22
3892,1975,1147,22
821,1650,9926,22
2072,1850,31613,22
4294,1975,38632,22
1956,1850,631,22
3475,1950,10698,22
2314,1875,23895,22
2573,1900,1303,22
110,1475,142,22
1564,1800,432,21
3917,1975,1512,21
2049,1850,26356,21
1028,1700,14440,21
4318,1975,46863,21
2071,1850,31531,21
4442,2000,2136,21
4546,2000,19950,21
1137,1725,15728,21
3164,1925,36210,21
3282,1950,357,21
2581,1900,1520,21
2421,1900,74,21
3781,1975,248,21
3880,1975,1039,21
2555,1900,1014,21
2319,1875,26158,21
3222,1950,33,21
3279,1950,342,21
4727,2000,46999,21
2946,1925,1303,21
4784,2025,6779,21
2281,1875,14825,21
73,1425,35,21
2917,1925,1011,21
2800,1925,135,20
2745,1900,44949,20
4444,2000,2474,20
4323,1975,47170,20
4453,2000,4475,20
2067,1850,30712,20
2650,1900,18165,20
2225,1875,1011,20
3336,1950,638,20
2593,1900,1624,20
828,1650,14034,20
1820,1825,14825,20
1509,1800,35,20
3752,1975,109,20
3751,1975,101,20
4436,2000,1843,20
2914,1925,982,20
3368,1950,1123,20
4382,2000,83,20
2871,1925,498,20
4182,1975,28660,19
3405,1950,1572,19
4782,2025,6716,19
4516,2000,13179,19
707,1625,35798,19
453,1575,10026,19
425,1575,631,19
3457,1950,6149,19
3065,1925,21061,19
2353,1875,31127,19
1885,1850,110,19
3846,1975,596,19
1922,1850,377,19
52,1350,35,19
3321,1950,547,19
4858,2025,50712,19
2675,1900,23895,19
1098,1725,556,19
1643,1800,14825,19
1208,1750,455,19
1668,1800,26158,19
2124,1875,110,19
3278,1950,333,19
3887,1975,1088,18
3667,1950,37625,18
4725,2000,46863,18
2940,1925,1273,18
1060,1725,42,18
1206,1750,441,18
2670,1900,23628,18
1203,1750,427,18
2015,1850,15988,18
1778,1825,1005,18
1760,1825,508,18
1340,1775,292,18
4306,1975,45015,18
520,1600,465,18
1913,1850,311,18
2198,1875,542,18
4687,2000,37702,18
3594,1950,28428,18
2919,1925,1034,18
4800,2025,21959,18
3176,1925,38123,18
2639,1900,14440,18
4169,1975,27063,18
1223,1750,630,18
1898,1850,229,18
63,1400,35,18
1988,1850,1651,18
1782,1825,1043,18
3245,1950,125,17
2364,1875,35953,17
350,1550,1005,17
2908,1925,896,17
3028,1925,13961,17
2432,1900,109,17
1356,1775,432,17
2596,1900,1637,17
3240,1950,105,17
766,1650,427,17
2577,1900,1447,17
3244,1950,118,17
2699,1900,29738,17
3393,1950,1512,17
4663,2000,35162,17
2932,1925,1123,17
974,1700,35,17
3841,1975,554,17
2213,1875,631,17
291,1525,14440,17
2246,1875,1600,17
3149,1925,33083,17
4118,1975,21018,17
3133,1925,30949,17
4570,2000,23160,17
1527,1800,172,17
3369,1950,1137,17
2522,1900,542,17
4661,2000,34958,17
225,1525,9,17
3627,1950,32991,17
1831,1825,21517,17
40,1275,1296,17
4052,1975,10813,16
4649,2000,32995,16
3496,1950,13316,16
4304,1975,44949,16
4466,2000,6702,16
4647,2000,32993,16
4375,1975,52662,16
1569,1800,465,16
4648,2000,32994,16
475,1575,35798,16
3541,1950,21079,16
1651,1800,17722,16
3144,1925,32991,16
3972,1975,2500,16
4348,1975,49706,16
340,1550,441,16
1044,1700,26158,16
1972,1850,1281,16
4552,2000,21018,16
902,1675,465,16
3622,1950,31613,16
3844,1975,587,16
673,1625,9091,16
4641,2000,31613,16
651,1625,1005,16
831,1650,15728,16
1689,1800,47746,15
1258,1750,14034,15
93,1450,631,15
2290,1875,18314,15
79,1425,2718,15
2269,1875,10026,15
2923,1925,1054,15
2007,1850,13179,15
1253,1750,9926,15
4038,1975,9772,15
48,1325,35,15
1798,1825,1303,15
3757,1975,130,15
4581,2000,24440,15
830,1650,14440,15
4434,2000,1684,15
3451,1950,4108,15
1439,1775,14440,15
754,1650,290,15
1202,1750,426,15
1909,1850,290,15
1385,1775,639,15
2469,1900,257,15
2606,1900,1829,15
2077,1850,35183,15
735,1650,142,15
4421,2000,1457,14
4093,1975,16884,14
3696,1950,47445,14
4121,1975,21360,14
2734,1900,37510,14
1707,1825,105,14
1686,1800,38216,14
1771,1825,631,14
2873,1925,504,14
4112,1975,20107,14
172,1500,508,14
4759,2000,52353,14
775,1650,584,14
569,1600,23153,14
2027,1850,20260,14
2178,1875,426,14
460,1575,14034,14
2437,1900,138,14
4497,2000,10813,14
2142,1875,211,14
1085,1725,427,14
4009,1975,6516,14
3029,1925,13969,14
3274,1950,300,14
4875,2025,52353,14
4495,2000,10715,14
4192,1975,30299,14
4381,2000,29,14
1059,1725,35,14
3408,1950,1600,14
3828,1975,508,13
4273,1975,37190,13
3198,1925,48993,13
715,1625,38134,13
4422,2000,1513,13
2647,1900,17716,13
4713,2000,42881,13
3206,1925,50740,13
1642,1800,14440,13
3805,1975,414,13
3241,1950,109,13
2073,1850,33083,13
1188,1750,292,13
644,1625,631,13
4564,2000,22912,13
4565,2000,22913,13
3098,1925,26356,13
1659,1800,22725,13
1531,1800,192,13
4014,1975,6715,13
4469,2000,6716,13
3532,1950,19418,13
2357,1875,31703,13
4242,1975,34866,13
1405,1775,1238,13
2989,1925,1994,13
4460,2000,6024,13
146,1500,9,13
1881,1850,90,13
2813,1925,199,13
1825,1825,17722,13
2806,1925,165,13
4054,1975,11087,13
4133,1975,23160,13
4247,1975,35160,12
1561,1800,425,12
1000,1700,455,12
3313,1950,508,12
1440,1775,14825,12
4204,1975,31177,12
1091,1725,465,12
2811,1925,192,12
3466,1950,9720,12
3207,1925,50977,12
4220,1975,32746,12
68,1400,2718,12
3011,1925,10740,12
1610,1800,1296,12
1584,1800,556,12
3592,1950,27872,12
1321,1775,142,12
1593,1800,672,12
565,1600,21517,12
2694,1900,28623,12
2179,1875,427,12
809,1650,1552,12
4476,2000,6903,12
2452,1900,199,12
1864,1825,37573,12
2571,1900,1297,12
3979,1975,3097,12
3803,1975,403,12
1933,1850,455,12
3819,1975,464,12
1983,1850,1555,12
1728,1825,229,12
2018,1850,17582,12
343,1550,465,12
338,1550,426,12
532,1600,1005,12
4572,2000,23321,12
4586,2000,24922,12
3915,1975,1455,12
2155,1875,290,12
613,1625,211,12
658,1625,1303,12
2145,1875,230,12
3508,1950,15257,11
3996,1975,5457,11
168,1500,427,11
452,1575,9926,11
3360,1950,1054,11
3504,1950,14825,11
781,1650,639,11
2185,1875,455,11
2479,1900,330,11
4804,2025,24597,11
4881,2025,52820,11
801,1650,1303,11
4166,1975,26587,11
1498,1775,46560,11
4679,2000,36776,11
3531,1950,19205,11
633,1625,427,11
4477,2000,6937,11
3983,1975,3930,11
744,1650,211,11
481,1575,38134,11
3853,1975,668,11
3849,1975,612,11
3220,1950,15,11
3878,1975,1011,11
4537,2000,17769,11
1084,1725,426,11
1976,1850,1303,11
3836,1975,536,11
1076,1725,292,11
394,1550,38134,11
600,1625,48,11
2294,1875,20260,11
2074,1850,34346,11
2304,1875,22725,11
4573,2000,23479,11
494,1600,48,11
4818,2025,35183,11
1520,1800,105,11
628,1625,401,11
1685,1800,38134,11
3575,1950,25202,11
1644,1800,15728,11
253,1525,426,11
4415,2000,1058,11
255,1525,441,11
4451,2000,3097,11
1683,1800,37252,11
2739,1900,38216,11
1538,1800,223,11
2867,1925,455,11
919,1675,1303,11
942,1675,18165,11
1722,1825,195,11
4134,1975,23171,11
4423,2000,1527,11
1702,1825,48,11
1001,1700,465,10
2032,1850,21191,10
1003,1700,631,10
3476,1950,10813,10
1688,1800,46560,10
4481,2000,9660,10
1612,1800,1303,10
1432,1775,10026,10
3589,1950,27869,10
2302,1875,22573,10
638,1625,508,10
3646,1950,35216,10
2651,1900,18314,10
1737,1825,306,10
4001,1975,6022,10
169,1500,441,10
1353,1775,425,10
3570,1950,24440,10
1332,1775,216,10
107,1475,9,10
863,1650,46560,10
2995,1925,3891,10
4741,2000,50066,10
4809,2025,27795,10
3490,1950,12795,10
2380,1875,44949,10
2300,1875,21753,10
947,1675,21517,10
4196,1975,30452,10
3956,1975,1685,10
2553,1900,1005,10
389,1550,35798,10
4287,1975,38216,10
1534,1800,195,10
549,1600,9926,10
907,1675,631,10
3659,1950,36210,10
4764,2000,52662,10
3848,1975,605,10
4470,2000,6747,10
3318,1950,536,10
1486,1775,35798,10
2608,1900,1995,10
3951,1975,1671,10
4690,2000,37884,10
2483,1900,342,10
1446,1775,17722,10
4452,2000,3811,10
4670,2000,35534,10
2928,1925,1076,10
4568,2000,23032,10
2853,1925,419,10
3354,1950,1011,10
1945,1850,514,9
2591,1900,1600,9
3045,1925,17716,9
4343,1975,49035,9
3048,1925,18165,9
841,1650,21894,9
3137,1925,31531,9
1274,1750,22725,9
2241,1875,1534,9
2350,1875,30875,9
2036,1850,22725,9
2243,1875,1555,9
2760,1900,51640,9
2332,1875,28255,9
854,1650,35798,9
3121,1925,30049,9
2313,1875,23749,9
536,1600,1238,9
3406,1950,1583,9
162,1500,333,9
2477,1900,317,9
2518,1900,508,9
614,1625,216,9
2842,1925,342,9
3556,1950,23036,9
3513,1950,16616,9
793,1650,966,9
2501,1900,431,9
2126,1875,138,9
3718,1950,50960,9
4778,2025,1880,9
3709,1950,49956,9
4790,2025,11671,9
4388,2000,159,9
2119,1875,90,9
4770,2025,219,9
4164,1975,26421,9
4769,2025,193,9
1502,1775,48870,9
1140,1725,17722,9
1787,1825,1100,9
2525,1900,556,9
3682,1950,42764,9
1089,1725,454,9
2109,1875,48,9
3994,1975,5382,9
1886,1850,135,9
3039,1925,16609,9
4426,2000,1596,9
2366,1875,36526,9
3783,1975,253,9
1024,1700,9926,9
2392,1875,50918,9
3214,1925,52165,9
999,1700,454,9
2134,1875,165,9
2564,1900,1186,9
2681,1900,26158,9
1421,1775,1629,9
4218,1975,31613,9
3495,1950,13224,9
1635,1800,9797,8
3327,1950,584,8
3386,1950,1303,8
2634,1900,13179,8
1607,1800,1186,8
2622,1900,9892,8
3890,1975,1135,8
3246,1950,130,8
2019,1850,17716,8
3625,1950,32811,8
3221,1950,30,8
2722,1900,35183,8
2355,1875,31531,8
1994,1850,4475,8
1985,1850,1600,8
1844,1825,26356,8
2825,1925,257,8
2963,1925,1568,8
1434,1775,11452,8
2826,1925,259,8
3736,1975,29,8
4021,1975,6842,8
2955,1925,1512,8
4023,1975,7165,8
3551,1950,22433,8
1808,1825,4475,8
4170,1975,27089,8
1794,1825,1293,8
1540,1800,229,8
3525,1950,17843,8
1536,1800,216,8
4031,1975,9674,8
4224,1975,32965,8
1362,1775,455,8
1753,1825,441,8
3110,1925,28255,8
1729,1825,230,8
3593,1950,28418,8
2275,1875,13179,8
1255,1750,11452,8
2285,1875,16609,8
3438,1950,2340,8
3440,1950,2500,8
3807,1975,426,8
3022,1925,13179,8
4263,1975,36215,8
3063,1925,20532,8
3053,1925,18911,8
4039,1975,9826,8
3043,1925,17611,8
3474,1950,10575,8
4232,1975,33090,8
1843,1825,26158,8
2443,1900,163,8
4474,2000,6900,8
948,1675,21894,8
161,1500,290,8
4824,2025,36266,8
508,1600,328,8
120,1475,465,8
204,1500,14440,8
196,1500,9808,8
195,1500,7193,8
822,1650,10026,8
4816,2025,34987,8
591,1600,48870,8
693,1625,21517,8
4659,2000,34787,8
4390,2000,193,8
4715,2000,45011,8
4349,1975,49707,8
833,1650,17722,8
621,1625,306,8
866,1650,49364,8
4446,2000,2592,8
256,1525,445,8
4,-200,9926,8
898,1675,427,8
772,1650,508,8
4513,2000,12844,8
4594,2000,26421,8
1470,1775,26867,7
1471,1775,27042,7
4270,1975,36938,7
85,1450,193,7
2042,1850,23749,7
87,1450,427,7
3007,1925,9892,7
3768,1975,190,7
1295,1750,35798,7
1245,1750,1534,7
3115,1925,29312,7
1064,1725,106,7
1639,1800,11452,7
3111,1925,28418,7
324,1550,142,7
4429,2000,1654,7
2625,1900,10491,7
2640,1900,14825,7
3656,1950,35578,7
3450,1950,3891,7
1244,1750,1305,7
4828,2025,38124,7
2633,1900,12593,7
2730,1900,36526,7
2133,1875,163,7
856,1650,37005,7
4057,1975,11315,7
3540,1950,21061,7
1364,1775,501,7
236,1525,184,7
2224,1875,1005,7
2236,1875,1297,7
4211,1975,31370,7
1302,1750,38584,7
261,1525,508,7
4208,1975,31291,7
263,1525,518,7
3581,1950,26808,7
1701,1825,35,7
2796,1925,120,7
3599,1950,30049,7
1748,1825,426,7
1029,1700,15728,7
3522,1950,17716,7
2310,1875,23321,7
4780,2025,2500,7
4781,2025,6157,7
206,1500,18165,7
1445,1775,17142,7
1326,1775,192,7
1449,1775,18314,7
3882,1975,1054,7
2413,1900,48,7
1316,1775,48,7
3794,1975,326,7
2978,1925,1652,7
167,1500,426,7
3145,1925,33049,7
1409,1775,1303,7
2427,1900,102,7
3998,1975,5669,7
3753,1975,111,7
4660,2000,34866,7
3257,1950,192,7
3986,1975,4290,7
419,1575,465,7
1999,1850,10026,7
370,1550,10026,7
1565,1800,441,7
1555,1800,328,7
3293,1950,426,7
1613,1800,1305,7
1150,1725,26158,7
2478,1900,328,7
1967,1850,1043,7
1879,1850,48,7
3299,1950,450,7
1176,1750,106,7
1868,1825,46560,7
4514,2000,13101,7
3344,1950,923,7
1562,1800,426,7
3248,1950,148,7
3281,1950,351,7
4010,1975,6517,7
729,1650,48,7
2506,1900,455,7
3739,1975,48,7
2598,1900,1651,7
1215,1750,538,7
924,1675,1568,7
1887,1850,138,6
2920,1925,1041,6
2464,1900,230,6
1959,1850,672,6
1757,1825,477,6
3707,1950,49707,6
3666,1950,37506,6
1117,1725,1303,6
3703,1950,49113,6
1762,1825,514,6
877,1675,35,6
694,1625,21894,6
185,1500,1296,6
3700,1950,48465,6
2961,1925,1555,6
2154,1875,285,6
3699,1950,47668,6
2720,1900,33083,6
4840,2025,46388,6
1774,1825,818,6
2704,1900,30277,6
2164,1875,330,6
2886,1925,556,6
2755,1900,50234,6
1377,1775,584,6
410,1575,216,6
3977,1975,2863,6
259,1525,465,6
3730,1950,52164,6
2821,1925,230,6
3566,1950,23952,6
3565,1950,23895,6
4416,2000,1163,6
2836,1925,317,6
3559,1950,23160,6
1422,1775,1676,6
3840,1975,550,6
2781,1925,62,6
1015,1700,1303,6
559,1600,18314,6
4774,2025,441,6
1427,1775,4475,6
1942,1850,501,6
2216,1875,672,6
4754,2000,52099,6
4668,2000,35419,6
285,1525,9808,6
3355,1950,1022,6
2883,1925,546,6
4585,2000,24892,6
1463,1775,23749,6
4128,1975,23003,6
871,1650,50098,6
4051,1975,10715,6
4584,2000,24658,6
1664,1800,23749,6
2341,1875,30027,6
4091,1975,16652,6
2085,1850,37573,6
3087,1925,23895,6
3208,1925,51064,6
4022,1975,6937,6
4706,2000,38913,6
2004,1850,12564,6
1494,1775,38134,6
4539,2000,18168,6
4150,1975,24436,6
2088,1850,38630,6
4475,2000,6902,6
385,1550,23172,6
3684,1950,45011,6
2799,1925,130,6
2372,1875,37510,6
3923,1975,1533,6
2438,1900,153,6
3782,1975,252,6
3435,1950,1996,6
4333,1975,47497,6
351,1550,1010,6
3419,1950,1641,6
2425,1900,90,6
3158,1925,35280,6
3925,1975,1539,6
4336,1975,47587,6
2020,1850,17722,6
3934,1975,1588,6
1239,1750,1290,6
3770,1975,192,6
4643,2000,31703,6
4005,1975,6157,6
3172,1925,37625,6
3639,1950,34427,6
4671,2000,36015,6
2100,1850,50234,6
4801,2025,22917,6
488,1575,50526,6
2687,1900,27063,6
4146,1975,24045,6
1975,1850,1297,6
4631,2000,31331,6
2108,1875,35,6
4632,2000,31350,6
2680,1900,25003,6
3025,1925,13702,6
3486,1950,12277,6
1056,1700,48870,6
1055,1700,48860,6
2535,1900,625,5
519,1600,455,5
2693,1900,28418,5
3761,1975,148,5
2735,1900,37573,5
2336,1875,29608,5
3821,1975,478,5
2703,1900,30271,5
2554,1900,1011,5
2695,1900,28749,5
4618,2000,30374,5
2274,1875,12564,5
1632,1800,4475,5
2277,1875,13961,5
908,1675,672,5
897,1675,426,5
3717,1950,50740,5
368,1550,9808,5
2491,1900,386,5
1416,1775,1553,5
4102,1975,17809,5
1512,1800,48,5
3743,1975,62,5
3588,1950,27831,5
1609,1800,1290,5
2528,1900,584,5
4172,1975,27535,5
2470,1900,259,5
886,1675,211,5
4176,1975,27831,5
932,1675,9926,5
3603,1950,30299,5
4098,1975,17611,5
3812,1975,438,5
4735,2000,48903,5
3609,1950,30776,5
979,1700,106,5
380,1550,18165,5
3586,1950,27781,5
961,1675,35798,5
4180,1975,27872,5
284,1525,7193,5
2288,1875,17722,5
2776,1925,48,5
4427,2000,1600,5
437,1575,1238,5
4089,1975,16609,5
2287,1875,17716,5
937,1675,14034,5
2371,1875,37368,5
2381,1875,46033,5
1023,1700,7190,5
1705,1825,94,5
2024,1850,19418,5
759,1650,333,5
1088,1725,441,5
3153,1925,34845,5
3152,1925,34844,5
2040,1850,23407,5
3421,1950,1645,5
769,1650,455,5
1833,1825,22725,5
656,1625,1296,5
1242,1750,1303,5
1828,1825,18314,5
3924,1975,1535,5
783,1650,671,5
1823,1825,17142,5
118,1475,441,5
3465,1950,9709,5
4344,1975,49113,5
4269,1975,36820,5
2092,1850,46436,5
3909,1975,1317,5
3905,1975,1294,5
3035,1925,15257,5
3030,1925,14020,5
4559,2000,22329,5
1793,1825,1283,5
76,1425,427,5
4003,1975,6055,5
1291,1750,31127,5
2012,1850,14440,5
3329,1950,597,5
4512,2000,12795,5
1139,1725,17142,5
1142,1725,18314,5
8,25,193,5
1949,1850,569,5
1892,1850,192,5
1159,1725,35798,5
3955,1975,1684,5
3365,1950,1079,5
3271,1950,275,5
4499,2000,11087,5
745,1650,216,5
1119,1725,1305,5
3262,1950,229,5
29,1200,2718,5
4298,1975,39215,5
3378,1950,1203,5
41,1275,2718,5
3390,1950,1402,5
1991,1850,1829,5
4291,1975,38358,5
681,1625,14034,5
4540,2000,18314,5
57,1350,2718,5
2111,1875,52,5
3462,1950,7178,5
4447,2000,2718,5
2983,1925,1734,5
2833,1925,292,5
2840,1925,329,5
4579,2000,24233,5
598,1625,37,5
2967,1925,1600,5
184,1500,1290,5
1374,1775,570,5
849,1650,30255,5
4047,1975,10218,5
2945,1925,1297,5
2935,1925,1163,5
2861,1925,431,5
3858,1975,775,5
1738,1825,311,5
4234,1975,34338,5
4233,1975,34140,5
2175,1875,403,5
1389,1775,672,5
4767,2025,9,5
1307,1750,48870,5
4575,2000,23782,5
537,1600,1290,5
3573,1950,25186,5
1403,1775,1186,5
1299,1750,37005,5
901,1675,455,4
2250,1875,1629,4
432,1575,917,4
1981,1850,1534,4
1986,1850,1629,4
1926,1850,403,4
2252,1875,1651,4
1869,1825,47746,4
906,1675,584,4
915,1675,1283,4
1739,1825,328,4
900,1675,454,4
516,1600,441,4
3724,1950,51996,4
4456,2000,5382,4
1912,1850,306,4
4496,2000,10787,4
2240,1875,1513,4
3744,1975,74,4
2286,1875,17142,4
853,1650,35620,4
3737,1975,39,4
1948,1850,556,4
3960,1975,1829,4
3738,1975,46,4
1720,1825,192,4
2273,1875,12458,4
899,1675,441,4
855,1650,36526,4
1724,1825,199,4
1973,1850,1290,4
1591,1800,639,4
2480,1900,332,4
730,1650,62,4
1877,1850,35,4
4113,1975,20108,4
4465,2000,6664,4
758,1650,328,4
439,1575,1303,4
533,1600,1050,4
2086,1850,38134,4
2379,1875,38630,4
3793,1975,320,4
3912,1975,1402,4
4578,2000,24202,4
493,1600,37,4
4461,2000,6046,4
1665,1800,23895,4
2368,1875,37005,4
1802,1825,1555,4
3891,1975,1137,4
4636,2000,31388,4
1801,1825,1538,4
2363,1875,35798,4
2362,1875,35184,4
486,1575,48860,4
1656,1800,19896,4
798,1650,1290,4
814,1650,4475,4
1791,1825,1186,4
2122,1875,104,4
2070,1850,31292,4
2068,1850,30875,4
1857,1825,30875,4
2066,1850,30413,4
446,1575,1829,4
2016,1850,16609,4
2125,1875,135,4
2163,1875,328,4
1759,1825,501,4
503,1600,216,4
2326,1875,27063,4
2159,1875,317,4
2416,1900,62,4
4103,1975,17843,4
764,1650,425,4
4085,1975,15541,4
4551,2000,20770,4
4485,2000,9748,4
2054,1850,27757,4
3879,1975,1034,4
1636,1800,9808,4
2058,1850,28975,4
1770,1825,601,4
2391,1875,50789,4
820,1650,9808,4
1667,1800,24254,4
4154,1975,24922,4
1581,1800,538,4
1046,1700,32934,4
4230,1975,33073,4
3520,1950,17611,4
3518,1950,17251,4
1336,1775,230,4
192,1500,1829,4
2952,1925,1445,4
2960,1925,1552,4
2962,1925,1562,4
1313,1775,37,4
4799,2025,19888,4
2500,1900,426,4
1297,1750,36526,4
3001,1925,7178,4
1289,1750,30083,4
3019,1925,12564,4
3020,1925,12593,4
3023,1925,13224,4
1275,1750,23019,4
3046,1925,17722,4
1266,1750,18501,4
2907,1925,858,4
2899,1925,630,4
3062,1925,20175,4
270,1525,1005,4
2762,1900,52072,4
3591,1950,27871,4
4198,1975,30767,4
1424,1775,1829,4
1004,1700,639,4
4201,1975,30949,4
1418,1775,1564,4
278,1525,1534,4
1413,1775,1534,4
4745,2000,51178,4
3537,1950,20175,4
2807,1925,168,4
3569,1950,24322,4
4749,2000,51879,4
3554,1950,22964,4
2849,1925,382,4
4222,1975,32857,4
1373,1775,544,4
242,1525,276,4
2880,1925,536,4
1265,1750,18314,4
1065,1725,110,4
3606,1950,30413,4
1164,1725,46560,4
3384,1950,1297,4
37,1275,35,4
1115,1725,1290,4
3242,1950,116,4
3373,1950,1163,4
1172,1750,42,4
3371,1950,1147,4
3267,1950,259,4
1166,1725,48860,4
1120,1725,1534,4
1193,1750,340,4
3277,1950,327,4
4305,1975,45011,4
3289,1950,403,4
3310,1950,501,4
7,-100,9926,4
3346,1950,946,4
1128,1725,9926,4
1129,1725,10026,4
3340,1950,775,4
47,1300,2718,4
53,1350,427,4
1070,1725,216,4
4839,2025,46023,4
1071,1725,229,4
4825,2025,36350,4
1074,1725,257,4
1249,1750,4475,4
3448,1950,3368,4
102,1450,14440,4
1232,1750,950,4
4838,2025,45033,4
1225,1750,639,4
1220,1750,584,4
54,1350,606,4
1090,1725,455,4
4330,1975,47394,4
3166,1925,36526,4
1097,1725,544,4
75,1425,278,4
3171,1925,37573,4
70,1400,9926,4
60,1375,427,4
1197,1750,399,4
289,1525,13179,4
3974,1975,2709,4
3688,1950,46178,4
1489,1775,37252,4
3671,1950,38134,4
2636,1900,13961,4
3708,1950,49762,4
1557,1800,397,4
4682,2000,37094,4
1551,1800,279,4
3653,1950,35441,4
2692,1900,28255,4
2537,1900,630,4
2653,1900,19418,4
2540,1900,639,4
4685,2000,37573,4
2702,1900,30149,4
4144,1975,23897,4
3674,1950,38361,4
4389,2000,165,4
4179,1975,27870,4
4693,2000,38124,4
4178,1975,27869,4
4403,2000,547,4
2668,1900,23321,4
2579,1900,1513,4
3635,1950,34338,4
3675,1950,38632,4
2602,1900,1673,4
933,1675,10026,4
2517,1900,501,4
954,1675,26158,4
1457,1775,23019,4
344,1550,508,4
4407,2000,639,4
2731,1900,37005,4
2707,1900,30413,4
2613,1900,7169,4
3661,1950,36820,4
4411,2000,912,4
2515,1900,494,4
2082,1850,35953,3
3143,1925,32739,3
648,1625,960,3
722,1625,48860,3
646,1625,672,3
355,1550,1296,3
3662,1950,36938,3
2411,1900,43,3
649,1625,966,3
4545,2000,19888,3
345,1550,518,3
